date,time,weight[g],accX,accY,accZ,ActionId
10/14/2022,11:33,-297.4,-0.1,0,1,3
10/14/2022,11:33,-297.3,-0.1,0,1,3
10/14/2022,11:33,-297.2,-0.1,0,1,3
10/14/2022,11:33,-297.4,-0.1,-0.1,1,3
10/14/2022,11:33,-297.2,0.1,0,1,3
10/14/2022,11:33,-297.3,0,0,1.1,3
10/14/2022,11:33,-297.2,0,0,1,3
10/14/2022,11:33,-297.2,-0.1,-0.1,0.8,3
10/14/2022,11:33,-221.3,0,-0.1,1,3
10/14/2022,11:33,-115.9,-0.2,0,0.9,3
10/14/2022,11:33,1.8,0,0,1,3
10/14/2022,11:33,0.1,-0.1,0,1,3
10/14/2022,11:33,-1.3,0,0,1,3
10/14/2022,11:33,-1.1,0,0,1,3
10/14/2022,11:33,0.3,-0.1,0,1,3
10/14/2022,11:33,-0.2,0,0,1,3
10/14/2022,11:33,-1.9,0,0,1,3
10/14/2022,11:33,-0.4,-0.1,0,1,3
10/14/2022,11:33,-1.1,0,0,1,3
10/14/2022,23:50,-1.2,0,0,1,4
10/14/2022,23:50,-1.2,0,0,1,4
10/14/2022,23:50,-1.1,0,0,1,4
10/14/2022,23:50,-1.1,0,0,1,4
10/14/2022,23:50,-1.2,0,0,1,4
10/14/2022,23:50,-1.1,0,0,1,4
10/14/2022,23:50,0.5,-0.2,0,1,4
10/14/2022,23:50,0,-0.1,0,1,4
10/14/2022,23:50,-0.3,-0.2,0,0.9,4
10/14/2022,23:50,-163.3,-0.2,0.3,1,4
10/14/2022,23:50,-296.7,-0.1,0.4,0.9,4
10/14/2022,23:50,-297.2,0,0.3,0.9,4
10/14/2022,23:50,-297.3,-0.3,0.2,1,4
10/14/2022,23:50,-297.3,-0.5,0,0.9,4
10/14/2022,23:50,-297.3,-0.2,-0.2,0.8,4
10/14/2022,23:50,-297.4,0.6,0.1,1.1,4
10/14/2022,23:50,-297.3,0,-0.4,0.7,4
10/14/2022,23:50,-297.2,0.2,0.2,0.9,4
10/14/2022,23:50,-297.2,0.4,0.4,1.1,4
10/14/2022,23:50,-297.3,0.4,0,0.8,4
10/14/2022,23:50,-297.3,0.9,-0.3,0.7,4
10/14/2022,23:50,-297.2,0.6,-0.4,0.7,4
10/14/2022,23:50,-297.3,0.5,-0.5,0.7,4
10/14/2022,23:50,-297.3,0.5,-0.5,0.7,4
10/14/2022,23:50,-297.3,0.5,-0.5,0.7,4
10/14/2022,23:50,-297.3,0.6,-0.7,0.6,4
10/14/2022,23:50,-297.2,0.7,-0.7,0.6,4
10/14/2022,23:50,-297.4,-0.4,-0.7,0.5,4
10/14/2022,23:50,-297.3,-0.4,-0.7,0.7,4
10/14/2022,23:50,-297.3,0,-0.5,0.8,4
10/14/2022,23:50,-297.2,0.3,0,1,4
10/14/2022,23:50,-297.3,0.6,0.3,1.1,4
10/14/2022,23:50,-297.3,0.3,0.4,1.1,4
10/14/2022,23:50,-297.3,0.1,-0.2,0.8,4
10/14/2022,23:50,-297.4,-0.1,0.3,1.2,4
10/14/2022,23:50,-297.3,-0.4,-0.1,1,4
10/14/2022,23:50,-297.3,-0.3,-0.5,0.9,4
10/14/2022,23:50,-297.4,-0.1,-0.1,1.1,4
10/14/2022,23:50,-297.2,0.3,-0.1,1,4
10/14/2022,23:50,-297.3,0.5,-0.4,0.8,4
10/14/2022,23:50,-297.3,0.4,-0.4,0.8,4
10/14/2022,23:50,-297.3,0.2,-0.5,0.5,4
10/14/2022,23:50,-297.3,0.4,-0.3,0.5,4
10/14/2022,23:50,-297.4,0.2,0.4,0.9,4
10/14/2022,23:50,-297.3,0.3,0.5,0.9,4
10/14/2022,23:50,-297.4,0.1,0.6,1,4
10/14/2022,23:50,-297.4,-0.1,0.5,1.1,4
10/14/2022,23:50,-297.4,-0.4,0.3,1.1,4
10/14/2022,23:50,-297.3,-0.8,0.2,1,4
10/14/2022,23:50,-297.3,0,-0.2,0.8,4
10/14/2022,23:50,-297.3,0.3,0.1,1,4
10/14/2022,23:50,-297.3,0,-0.3,1,4
10/14/2022,23:50,-297.3,-0.1,-0.4,1.1,4
10/14/2022,23:50,-297.3,0.2,-0.3,0.9,4
10/14/2022,23:50,-297.3,0.3,-0.7,0.7,4
10/14/2022,23:50,-297.3,0.1,-0.7,0.6,4
10/14/2022,23:50,-297.3,-0.1,-0.8,0.6,4
10/14/2022,23:50,-297.3,-0.1,-0.7,0.7,4
10/14/2022,23:50,-297.2,-0.1,-0.7,0.7,4
10/14/2022,23:50,-297.3,0,-0.8,0.6,4
10/14/2022,23:50,-297.4,0.2,-0.6,0.7,4
10/14/2022,23:50,-297.3,-0.2,-0.3,0.9,4
10/14/2022,23:50,-297.3,0,0.2,1.2,4
10/14/2022,23:50,-297.3,-0.1,0,1.1,4
10/14/2022,23:50,-297.2,0.1,-0.1,0.8,4
10/14/2022,23:50,-297.3,0.1,-0.1,0.9,4
10/14/2022,23:50,-297.3,-0.3,-0.2,1.1,4
10/14/2022,23:50,-297.4,-0.2,-0.1,1,4
10/14/2022,23:50,-297.3,0,-0.1,0.9,4
10/14/2022,23:50,-297.2,-0.1,-0.1,1,4
10/14/2022,23:50,-297.2,0,-0.1,1,4
10/14/2022,23:50,-297.3,-0.1,-0.1,1,4
10/14/2022,23:50,-297.3,0,-0.1,0.8,4
10/14/2022,23:50,-296.8,0.1,0.3,0.9,4
10/14/2022,23:50,-107.1,0,0.1,1.1,4
10/14/2022,23:50,-5.3,-0.1,0,1,4
10/14/2022,23:50,-0.8,0,0,1,4
10/14/2022,23:50,-0.3,-0.1,0,1,4
10/14/2022,23:50,0.9,0,0,1,4
10/14/2022,23:50,-0.6,0,0,1,4
10/14/2022,23:50,0.6,-0.1,0,1,4
10/14/2022,23:50,0.9,0,0,1,4
10/14/2022,23:50,-0.3,0,0,1,4
10/14/2022,23:50,0.1,0,0,1,4
10/14/2022,23:50,-0.6,0,0,1,4
10/14/2022,6:14 PM,-0.4,0,0,1,5
10/14/2022,6:14 PM,-0.3,0,0,1,5
10/14/2022,6:14 PM,-0.5,0,0,1,5
10/14/2022,6:14 PM,-0.4,0,0,1,5
10/14/2022,6:14 PM,-0.5,0,0,1,5
10/14/2022,6:14 PM,-0.3,0,0,1,5
10/14/2022,6:14 PM,-0.3,0,0,1,5
10/14/2022,6:14 PM,-0.4,0,0,1,5
10/14/2022,6:14 PM,-0.4,0,0,1,5
10/14/2022,6:14 PM,-0.4,0,0,1,5
10/14/2022,6:14 PM,-0.4,0,0,1,5
10/14/2022,6:14 PM,-0.3,0,0,1,5
10/14/2022,6:14 PM,-0.4,0,0,1,5
10/14/2022,6:14 PM,-0.4,0,0,1,5
10/14/2022,6:14 PM,-0.4,0,0,1,5
10/14/2022,6:14 PM,-0.4,0,0,1,5
10/14/2022,6:14 PM,-0.4,0,0,1,5
10/14/2022,6:14 PM,-0.3,0,0,1,5
10/14/2022,6:14 PM,-0.5,0,0,1,5
10/14/2022,6:14 PM,-0.4,0,0,1,5
10/14/2022,6:14 PM,-0.4,0,0,1,5
10/14/2022,6:14 PM,-0.3,0,0,1,5
10/14/2022,6:14 PM,-0.4,0,0,1,5
10/14/2022,6:14 PM,-0.4,0,0,1,5
10/14/2022,6:14 PM,0.1,-0.2,0,1,5
10/14/2022,6:14 PM,-62,-0.2,0.1,1.5,5
10/14/2022,6:14 PM,-296.8,-0.5,-0.5,0.9,5
10/14/2022,6:14 PM,-297.1,0,0,0.9,5
10/14/2022,6:14 PM,-297.2,-0.1,-0.1,0.8,5
10/14/2022,6:14 PM,-297.3,-0.1,-0.1,0.9,5
10/14/2022,6:14 PM,-297.2,-0.1,-0.1,1.1,5
10/14/2022,6:14 PM,-297.3,-0.4,-0.2,1.1,5
10/14/2022,6:14 PM,-297.3,-0.1,-0.2,0.9,5
10/14/2022,6:14 PM,-297.3,0.1,-0.4,0.9,5
10/14/2022,6:14 PM,-297.3,0,-0.4,0.9,5
10/14/2022,6:14 PM,-297.2,0.1,-0.4,0.9,5
10/14/2022,6:14 PM,-297.3,0.2,-0.4,0.8,5
10/14/2022,6:14 PM,-297.3,0.1,-0.3,0.9,5
10/14/2022,6:14 PM,-297.3,0,-0.3,0.9,5
10/14/2022,6:14 PM,-297.4,0,-0.3,0.9,5
10/14/2022,6:14 PM,-297.2,0,-0.2,0.9,5
10/14/2022,6:14 PM,-297.3,0.1,-0.1,1,5
10/14/2022,6:14 PM,-297.3,0,0.1,1.2,5
10/14/2022,6:14 PM,-297.3,-0.1,0,1,5
10/14/2022,6:14 PM,-297.3,0,0.1,1,5
10/14/2022,6:14 PM,-297.3,0,0.2,1,5
10/14/2022,6:14 PM,-297.3,0.1,0.2,1,5
10/14/2022,6:14 PM,-297.3,0,0.1,1,5
10/14/2022,6:14 PM,-297.3,0,0.1,1,5
10/14/2022,6:14 PM,-297.4,0,0.1,1,5
10/14/2022,6:14 PM,-297.3,0.2,0.2,0.8,5
10/14/2022,6:14 PM,-297.2,0.3,0.6,0.9,5
10/14/2022,6:14 PM,-297.2,0.4,0.6,0.9,5
10/14/2022,6:14 PM,-297.4,0.3,0.4,0.8,5
10/14/2022,6:14 PM,-297.4,0.4,0.4,0.8,5
10/14/2022,6:14 PM,-297.3,0.5,0.3,0.8,5
10/14/2022,6:14 PM,-297.4,0.5,0.3,0.8,5
10/14/2022,6:14 PM,-297.3,0.6,0.3,0.9,5
10/14/2022,6:14 PM,-297.3,0.4,0,0.8,5
10/14/2022,6:14 PM,-297.3,0.3,-0.4,0.8,5
10/14/2022,6:14 PM,-297.5,0.1,-0.5,0.9,5
10/14/2022,6:14 PM,-297.2,0.3,-0.4,0.8,5
